exp,trial,num_trials,procs,crosses,P,tiempo
8,0,1,100000000,4,63657490,0.6365749000,0.466473
8,0,2,100000000,4,63659789,0.6365978900,0.470276
8,0,3,100000000,4,63657625,0.6365762500,0.466357
8,0,4,100000000,4,63663147,0.6366314700,0.464998
8,0,5,100000000,4,63659810,0.6365981000,0.469182
8,5,1,316227766,4,201312486,0.6366059772,1.471118
8,5,2,316227766,4,201315932,0.6366168744,1.510836
8,5,3,316227766,4,201310580,0.6365999499,1.504538
8,5,4,316227766,4,201313623,0.6366095727,1.512242
8,5,5,316227766,4,201310977,0.6364498217,1.523425
9,0,1,1000000000,4,636618882,0.6366188820,4.758476
9,0,2,1000000000,4,636621460,0.6366214600,4.853214
9,0,3,1000000000,4,636618604,0.6366186040,4.758917
9,0,4,1000000000,4,636616655,0.6366166550,4.835335
9,0,5,1000000000,4,636619122,0.6366191220,4.801563
9,5,1,3162277660,4,2013167747,0.6366195393,15.190978
9,5,2,3162277660,4,2013169439,0.6366200743,15.070709
9,5,3,3162277660,4,2013170541,0.6366204228,14.899709
9,5,4,3162277660,4,2013166151,0.6366190346,15.232518
9,5,4,3162277660,4,2013170128,0.6366100224,15.330223
10,0,1,10000000000,4,6366198550,0.6366198550,47.382579
10,0,2,10000000000,4,6366193052,0.6366193052,47.444571
10,0,3,10000000000,4,6366201583,0.6366201583,47.445438
10,0,4,10000000000,4,6366200842,0.6366200842,47.426427
10,0,5,10000000000,4,6366197249,0.6366197249,47.391842
10,5,1,31622776602,4,20131682022,0.6366196832,151.004922
10,5,2,31622776602,4,20131679994,0.6366196191,150.634328
10,5,3,31622776602,4,20131680926,0.6366196485,150.243193
10,5,4,31622776602,4,20131681771,0.6366196753,151.436624
10,5,5,31622776602,4,20131624683,0.6366196288,150.346715
11,0,1,100000000000,4,63661958572,0.6366195857,474.023477
11,0,2,100000000000,4,63661960240,0.6366196024,478.247902
11,0,3,100000000000,4,63661960795,0.6366196080,484.261413
11,0,4,100000000000,4,63661965434,0.6366196543,472.677604
11,0,5,100000000000,4,63661962103,0.6366196210,476.812155
