exp,trial,num_trials,in_circle,pi_est,tiempo
8,0,1,100000000,78538622,3.1415448800,0.927317
8,0,2,100000000,78542907,3.1417162800,0.930790
8,0,3,100000000,78541204,3.1416481600,0.934791
8,0,4,100000000,78542314,3.1416925600,0.931149
8,0,5,100000000,78537007,3.1414802800,0.938582
8,0,6,100000000,78538745,3.1415498000,0.938368
8,0,7,100000000,78539678,3.1415871200,0.941239
8,0,8,100000000,78537995,3.1415198000,0.944388
8,0,9,100000000,78539041,3.1415616400,0.927773
8,0,10,100000000,78541513,3.1416605200,0.929681
8,5,1,316227766,248362812,3.1415686882,2.973425
8,5,2,316227766,248363729,3.1415802874,3.011374
8,5,3,316227766,248363173,3.1415732545,2.988619
8,5,4,316227766,248362739,3.1415677648,2.980104
8,5,5,316227766,248365066,3.1415971993,2.983881
8,5,6,316227766,248363319,3.1415751013,2.925304
8,5,7,316227766,248363072,3.1415719770,2.955941
8,5,8,316227766,248366004,3.1416090641,2.928718
8,5,9,316227766,248365312,3.1416003110,2.978443
8,5,10,316227766,248367163,3.1416237245,2.945511
9,0,1,1000000000,785398018,3.1415920720,9.646744
9,0,2,1000000000,785399009,3.1415960360,9.245590
9,0,3,1000000000,785398611,3.1415944440,9.347750
9,0,4,1000000000,785398260,3.1415930400,9.304468
9,0,5,1000000000,785397752,3.1415910080,9.353171
9,0,6,1000000000,785396662,3.1415866480,9.324341
9,0,7,1000000000,785399793,3.1415991720,9.285835
9,0,8,1000000000,785398359,3.1415934360,9.366420
9,0,9,1000000000,785398855,3.1415954200,9.318353
9,0,10,1000000000,785398887,3.1415955480,9.352786
9,5,1,3162277660,2483645688,3.1415909101,29.620341
9,5,2,3162277660,2483649441,3.1415956574,29.584094
9,5,3,3162277660,2483645750,3.1415909886,29.213408
9,5,4,3162277660,2483648019,3.1415938586,29.655774
9,5,5,3162277660,2483647995,3.1415938283,29.648294
9,5,6,3162277660,2483648178,3.1415940598,29.657672
9,5,7,3162277660,2483648449,3.1415944026,29.672821
9,5,8,3162277660,2483648731,3.1415947593,29.213865
9,5,9,3162277660,2483648586,3.1415945759,29.239833
9,5,10,3162277660,2483649584,3.1415958382,29.518499
10,0,1,10000000000,7853979716,3.1415918864,93.373907
10,0,2,10000000000,7853986844,3.1415947376,93.411376
10,0,3,10000000000,7853986404,3.1415945616,92.544762
10,0,4,10000000000,7853985979,3.1415943916,93.443000
10,0,5,10000000000,7853979536,3.1415918144,93.228550
10,0,6,10000000000,7853979695,3.1415918780,93.988634
10,0,7,10000000000,7853986372,3.1415945488,93.997959
10,0,8,10000000000,7853986248,3.1415944992,93.580363
10,0,9,10000000000,7853979537,3.1415918148,93.826878
10,0,10,10000000000,7853985845,3.1415943380,94.029951
10,5,1,31622776602,24836462947,3.1415916774,293.180310
10,5,2,31622776602,24836462387,3.1415916065,293.236984
10,5,3,31622776602,24836485941,3.1415945859,295.963307
10,5,4,31622776602,24836462537,3.1415916255,295.546142
10,5,5,31622776602,24836466880,3.1415921749,296.131078
10,5,6,31622776602,24836485528,3.1415945337,295.591888
10,5,7,31622776602,24836485284,3.1415945028,297.642658
10,5,8,31622776602,24836465510,3.1415920016,295.608329
10,5,9,31622776602,24836484965,3.1415944624,296.177268
10,5,10,31622776602,24836462881,3.1415916690,297.774094
11,0,1,100000000000,78539797498,3.1415918999,940.377289
11,0,2,100000000000,78539794236,3.1415917694,936.526765
11,0,3,100000000000,78539863368,3.1415945347,937.728197
11,0,4,100000000000,78539862976,3.1415945190,940.698775
11,0,5,100000000000,78539795237,3.1415918095,942.181010
11,0,6,100000000000,78539863830,3.1415945532,935.165564
11,0,7,100000000000,78539795069,3.1415918028,936.741941
11,0,8,100000000000,78539795111,3.1415918044,936.701633
11,0,9,100000000000,78539863367,3.1415945347,935.034342
11,0,10,100000000000,78539864312,3.1415945725,935.019404
